sampleID,cause.of.death,location,site.tag,sex,age.cement,mass,length,girth,kfi,splenic.index,new.pca,d13C,d15N,echino.worms.present,ech.count,ech.cap,log1.worm,qPCR.binary,bioact,empty,food.vol.unwashed,food.vol.washed,anth.vol,anth.dig.vol,anth.indig.vol,sm.vol,med.vol,ungulate.vol,bird.vol,insect.vol,veg.vol,herb.veg.vol,wood.veg.vol,fruit.vol,dig.apples.vol,dig.crops.vol,dig.food.waste.vol,dig.dog.food.vol
C050,trapped,rural,Z,M,0.594,9.5,88,43.5,0.3206,1.412,NA,-23.74,7.78,1,769,NA,NA,1,1,0,90,94,0,0,0,60,0,30,0,0,2,2,0,2,0,0,0,0
C051,trapped,rural,D,M,3.594,9.5,89,42,0.3507,3.4,NA,-21.6,8.84,0,0,NA,NA,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
C052,trapped,rural,C,F,0.681,9,86,43,0.1345,2.687,NA,-23.93,9,0,0,NA,NA,0,0,0,90,50.6,50.5,50.5,0,0,0,0,0,0,0.1,0.1,0,0,0,0.5,50,0
C053,trapped,rural,NA,M,0.681,10.5,87,45,0.3189,1.169,NA,-22.88,9.78,0,0,NA,NA,0,0,0,520,290.5,220,220,0,10,0,0,0,0,0.5,0,0.5,60,170,50,0,0
C054,trapped,rural,D,F,0.594,10,86,46,0.6857,1.385,NA,-23.35,8.51,0,0,NA,NA,1,0,0,830,941.6,19,8,11,30,0,880,4.5,0.1,8,8,0,0,0,0,8,0
C055,trapped,rural,C,M,1.347,13,88,51,0.3851,3.167,NA,-23.25,8.43,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C056,trapped,rural,D,M,1.681,10,81,47,0.5616,1.408,NA,-22.77,9.39,0,0,NA,NA,1,0,0,80,54,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0
C057,trapped,rural,B,F,0.511,6.5,77,35,0.2479,0.811,NA,-22.74,8.29,1,3,NA,NA,1,1,0,280,280.1,0,0,0,0,0.1,280,0,0,0,0,0,0,0,0,0,0
C058,trapped,rural,NA,F,1.844,10,90,44,0.2285,1.895,NA,-22.79,9.59,1,1158,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C059,trapped,rural,NA,F,1.792,8.5,76,43,0.5699,1.565,NA,-23.77,8.61,0,0,NA,NA,1,0,0,40,34.6,0,0,0,0,30.5,0,0,0,4.1,0.1,4,0,0,0,0,0
C060,trapped,rural,C,F,1.844,8,78,46,0.9659,2.514,NA,-23.66,6.09,1,46,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C061,trapped,rural,C,M,2.844,10.5,89,49,0.2612,3.023,NA,-22.8,8.93,0,0,NA,NA,0,0,0,20,5.1,0,0,0,0,5,0,0,0,0.1,0,0.1,0,0,0,0,0
C062,trapped,rural,C,F,2.844,12,97,47,0.3705,1.241,NA,-22.52,8.67,0,0,NA,NA,0,0,0,320,320,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
C063,trapped,rural,G,F,2.594,7.5,81,43,0.5564,1.945,NA,-24.03,8.59,0,0,NA,NA,0,0,0,2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
C064,trapped,rural,NA,M,5,15,101,59.5,0.5242,1.376,NA,-23.92,8.79,0,0,NA,NA,0,0,0,300,300,280,280,0,20,0,0,0,0,0,0,0,0,280,0,0,0
C065,trapped,rural,B,M,3.594,12.5,87,55,1.25,1.018,NA,-22.59,9.49,0,0,NA,NA,0,0,0,90,45.5,0,0,0,0.5,8,25,0,0,12,12,0,0,0,0,0,0
C066,trapped,urban,A,M,6.931,13,95,53.5,0.4132,2.064,NA,-20.9,9.45,1,42,NA,NA,NA,1,0,330,290.5,0,0,0,0,280,0,0,0,10.5,2,8.5,0,0,0,0,0
C067,roadkill,rural,NA,M,8.767,14.5,94,53,0.6467,2.614,NA,-22.89,9.33,0,0,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C068,roadkill,rural,NA,F,4.844,12.5,90,50,0.4221,1.567,NA,-21.84,8.2,0,0,NA,NA,0,0,0,1503,1503,0,0,0,0,12,1490,0,0,1,1,0,0,0,0,0,0
C069,roadkill,urban,A,F,3.844,10,79,45,0.2717,2.051,NA,-21.59,8.88,0,0,NA,NA,NA,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0
C070,trapped,urban,A,M,0.511,8,79,39,0.1378,1.435,NA,-23.64,7.95,0,0,NA,NA,NA,0,0,110,105.2,105.1,105,0.1,0,0,0,0,0,0.1,0.1,0,0,40,0,0,65
C071,conflict,urban,A,F,0.746,10.5,84,44,0.5061,2.916,NA,-23.18,9.22,1,1,NA,NA,NA,1,0,370,327,0,0,0,325,0,0,0,0,1.5,1.5,0,0.5,0,0,0,0
C072,roadkill,rural,NA,F,2.681,10.5,82.5,44,0.2762,2.124,NA,-22.49,8.86,0,0,NA,NA,1,0,0,340,288.5,6,5,1,0,0,280,0,0,2.5,2,0.5,0,0,0,5,0
C073,roadkill,urban,A,M,0.844,5.5,82.3,41,0.0815,2.391,NA,-22.32,9.24,1,27,NA,NA,NA,1,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
C074,conflict,urban,A,F,2.931,9,86,41,0.0957,1.597,NA,-19.21,7.46,1,9690,NA,NA,NA,1,0,10,11.6,0,0,0,10,1.5,0,0,0,0.1,0.1,0,0,0,0,0,0
